property_id,area,property_type,condition,finishing_type,furnished,view_type,area_sqm,bedrooms,bathrooms,floor_number,building_age_years,year_built,parking_spaces,has_pool,has_gym,has_security,has_elevator,has_balcony,is_compound,garden_sqm,floor_to_ceiling_height_m,distance_to_center_km,distance_to_metro_km,service_charge_annual_egp,sqm_market_rate_egp,condition_multiplier,finishing_multiplier,price_egp,base_value_egp
EG-000015,New Cairo - 5th Settlement,Duplex,Excellent,Semi Finished,Unfurnished,Pool,191,5,4,14,4,2021,2,0,0,0,1,1,1,62,3.1,9.2,2.2,42700,84939,1.08,1.0,18044000,17521000
EG-000016,Sheikh Zayed,Townhouse,Excellent,Fully Finished,Unfurnished,Sea/Lake,51,1,1,0,4,2021,1,0,0,1,0,1,1,70,2.5,12.8,1.6,23800,61200,1.08,1.22,4616000,4112000
EG-000017,Shubra,Studio,Good,Fully Finished,Partially Furnished,Pool,112,3,2,14,4,2021,1,0,0,1,1,1,0,0,3.4,4.3,5.2,72100,14720,1.0,1.22,2290000,2011000
EG-000018,New Mansoura,Duplex,Needs Renovation,Semi Finished,Unfurnished,Street,86,3,2,22,8,2017,1,0,1,1,0,1,0,77,2.9,19.2,1.2,18700,19320,0.7,1.0,1268000,1163000
EG-000019,Sheikh Zayed,Apartment,Excellent,Semi Finished,Unfurnished,Street,121,4,3,5,7,2018,1,0,0,0,0,0,0,0,3.1,13.1,0.9,32300,49800,1.08,1.0,6500000,6508000
EG-000020,6th of October City,Duplex,New,Fully Finished,Unfurnished,Garden,121,2,1,8,10,2015,0,1,0,1,0,0,1,189,3.0,15.6,5.7,45000,64859,1.18,1.22,11761000,11298000
EG-000021,Alexandria - Sporting,Townhouse,Fair,Fully Finished,Unfurnished,Pool,157,3,2,2,18,2007,1,0,0,1,1,0,0,114,2.6,1.8,2.3,82700,26350,0.87,1.22,4527000,4391000
EG-000022,Port Said,Apartment,New,Fully Finished,Unfurnished,Sea/Lake,113,3,2,14,0,2025,1,0,0,1,1,1,0,0,2.9,1.2,1.8,61800,11000,1.18,1.22,2173000,1789000
EG-000023,Heliopolis,Apartment,Needs Renovation,Fully Finished,Unfurnished,City,118,3,2,1,9,2016,0,0,0,1,1,1,1,0,3.1,24.0,0.5,44500,25000,0.7,1.22,2606000,2519000
EG-000024,New Cairo - 6th Settlement,Studio,Excellent,Fully Finished,Unfurnished,Street,158,4,3,20,9,2016,0,0,0,0,1,0,0,0,2.9,4.2,3.7,57900,50600,1.08,1.22,10462000,10534000
EG-000025,New Mansoura,Townhouse,Fair,Fully Finished,Furnished,City,148,3,3,18,4,2021,1,0,0,0,1,0,1,406,3.2,15.2,5.1,70000,23800,0.87,1.22,4401000,3739000
EG-000026,Tanta,Apartment,Excellent,Fully Finished,Partially Furnished,Street,77,2,2,9,11,2014,1,0,0,1,1,1,1,0,2.7,2.8,6.5,48700,9000,1.08,1.22,1186000,913000
EG-000027,Sheikh Zayed,Studio,Excellent,Fully Finished,Unfurnished,City,116,2,2,13,10,2015,0,1,0,1,0,1,0,0,2.9,3.6,2.7,25700,45816,1.08,1.22,7181000,7003000
EG-000028,Dokki,Apartment,Good,Fully Finished,Partially Furnished,Garden,140,4,3,0,12,2013,0,0,1,1,0,1,0,0,3.0,22.0,1.7,94700,22000,1.0,1.22,3766000,3758000
EG-000029,New Administrative Capital,Studio,Fair,Core & Shell,Unfurnished,Garden,188,4,3,7,0,2025,1,1,0,1,1,0,0,0,2.8,8.5,1.7,101400,55200,0.87,0.78,7459000,7042000
EG-000030,New Cairo - 5th Settlement,Apartment,Good,Semi Finished,Partially Furnished,Garden,180,4,3,13,4,2021,0,0,0,1,1,1,1,0,3.0,1.7,0.8,52500,61550,1.0,1.0,11424000,11079000
EG-000031,Zamalek,Apartment,New,Fully Finished,Unfurnished,Street,85,2,1,1,12,2013,0,0,0,0,1,1,1,0,2.9,1.6,3.5,27000,50000,1.18,1.22,6210000,6118000
EG-000032,Ismailia,Townhouse,Fair,Fully Finished,Unfurnished,Sea/Lake,87,1,1,22,6,2019,1,0,0,1,1,0,1,25,3.2,24.9,3.9,54300,17850,0.87,1.22,2038000,1648000
EG-000033,Dokki,Apartment,Good,Core & Shell,Unfurnished,Street,58,1,1,15,2,2023,1,0,0,0,1,1,0,0,2.7,3.4,3.7,31500,22000,1.0,0.78,1113000,995000
EG-000034,Obour City,Townhouse,New,Fully Finished,Unfurnished,Street,160,3,2,5,0,2025,0,0,0,0,1,1,1,229,2.8,6.9,0.5,47600,28900,1.18,1.22,7073000,6657000
EG-000035,New Cairo - 5th Settlement,Apartment,Fair,Fully Finished,Unfurnished,Sea/Lake,70,1,1,1,0,2025,1,0,0,0,1,1,0,0,3.0,6.4,4.1,39000,61550,0.87,1.22,4910000,4573000
EG-000036,Sheikh Zayed,Apartment,Excellent,Fully Finished,Unfurnished,Pool,105,3,2,24,0,2025,0,0,1,0,1,1,0,0,2.8,9.6,5.2,62000,49800,1.08,1.22,7088000,6890000
EG-000037,Heliopolis,Penthouse,Needs Renovation,Fully Finished,Unfurnished,City,108,2,2,3,8,2017,1,0,0,1,1,1,0,0,2.9,2.0,0.1,63300,38750,0.7,1.22,3663000,3574000
EG-000038,North Coast - Ras El Hekma,Apartment,New,Semi Finished,Furnished,Garden,323,7,6,24,1,2024,0,0,0,0,0,0,0,0,2.8,2.2,0.5,119200,82000,1.18,1.0,31535000,31253000
EG-000039,New Mansoura,Studio,Good,Fully Finished,Partially Furnished,Garden,240,5,4,16,6,2019,1,0,0,0,1,0,0,0,3.2,5.5,7.4,75000,12880,1.0,1.22,3925000,3771000
EG-000040,Nasr City,Townhouse,Fair,Fully Finished,Unfurnished,Street,91,3,2,23,6,2019,0,0,1,0,0,1,1,45,2.9,6.9,18.3,48300,38420,0.87,1.22,3889000,3711000
EG-000041,Mansoura,Penthouse,New,Fully Finished,Unfurnished,City,238,5,4,17,13,2012,1,1,0,0,1,1,0,0,3.2,12.9,3.3,137800,18600,1.18,1.22,6528000,6373000
EG-000042,Mohandessin,Apartment,Good,Semi Finished,Unfurnished,Garden,67,1,1,17,2,2023,1,0,0,0,1,1,0,0,3.1,10.4,10.5,40100,23000,1.0,1.0,1661000,1541000
EG-000043,Hurghada,Apartment,Fair,Fully Finished,Unfurnished,Street,156,3,2,7,10,2015,2,0,0,1,1,0,1,0,2.9,2.0,18.1,109200,26500,0.87,1.22,4652000,4388000
EG-000044,Mostakbal City,Apartment,New,Fully Finished,Unfurnished,City,151,3,2,11,5,2020,1,0,0,1,1,0,1,0,2.7,7.9,2.4,41200,22000,1.18,1.22,5031000,4782000
EG-000045,Mohandessin,Studio,Fair,Fully Finished,Unfurnished,City,137,4,3,3,3,2022,2,0,1,1,1,1,0,0,2.9,8.0,7.9,95700,21160,0.87,1.22,3314000,3077000
EG-000046,Badr City,Apartment,Excellent,Fully Finished,Unfurnished,Street,142,3,3,13,8,2017,2,0,0,0,0,1,0,0,2.5,11.7,3.9,77200,9450,1.08,1.22,1818000,1768000
EG-000047,Sheikh Zayed,Duplex,Excellent,Core & Shell,Unfurnished,Sea/Lake,117,2,2,19,0,2025,0,0,0,1,1,1,1,86,2.8,13.2,1.2,63400,68724,1.08,0.78,7299000,6773000
EG-000048,Zamalek,Apartment,Good,Semi Finished,Unfurnished,Garden,137,2,1,14,0,2025,0,0,0,0,0,1,0,0,3.1,11.4,1.8,89200,50000,1.0,1.0,6919000,6850000
EG-000049,New Cairo - 6th Settlement,Apartment,New,Semi Finished,Furnished,Sea/Lake,123,3,2,15,2,2023,1,0,0,1,0,1,1,0,3.2,22.1,3.4,35500,55000,1.18,1.0,8537000,7983000
EG-000050,Dokki,Apartment,Excellent,Fully Finished,Furnished,Garden,82,1,1,2,1,2024,0,1,1,1,1,1,1,0,2.8,10.6,1.0,55900,22000,1.08,1.22,3092000,2377000
EG-000051,Alexandria - Sporting,Duplex,Fair,Fully Finished,Unfurnished,Pool,301,7,5,13,4,2021,0,0,0,1,0,1,1,125,3.1,15.0,0.3,91100,16560,0.87,1.22,5638000,5291000
EG-000052,Mostakbal City,Apartment,Needs Renovation,Core & Shell,Unfurnished,Pool,138,2,2,10,3,2022,1,0,0,1,1,0,0,0,2.8,4.2,4.1,96600,22000,0.7,0.78,1872000,1658000
EG-000053,New Cairo - 6th Settlement,Apartment,Excellent,Semi Finished,Unfurnished,City,100,3,3,24,8,2017,0,0,0,1,1,1,1,0,3.2,30.9,1.0,44500,55000,1.08,1.0,5967000,5940000
EG-000054,Sheikh Zayed,Studio,Good,Fully Finished,Unfurnished,Garden,190,5,4,15,14,2011,0,0,0,1,0,0,0,0,2.7,3.7,4.4,116200,45816,1.0,1.22,10541000,10620000
EG-000055,New Cairo - 5th Settlement,Townhouse,Good,Fully Finished,Furnished,City,112,3,2,11,13,2012,0,0,0,0,1,1,0,51,3.2,3.3,3.8,61000,82450,1.0,1.22,11434000,11266000
EG-000056,Mansoura,Apartment,Good,Fully Finished,Furnished,Street,71,2,2,19,1,2024,2,0,0,0,1,1,0,0,2.8,1.2,10.0,28400,12000,1.0,1.22,1388000,1039000
EG-000057,Suez,Studio,Needs Renovation,Semi Finished,Unfurnished,Street,230,4,3,8,21,2004,1,0,1,0,1,1,1,0,3.3,5.1,2.9,154700,9200,0.7,1.0,1610000,1481000
EG-000058,New Administrative Capital,Apartment,Excellent,Fully Finished,Partially Furnished,Street,194,5,4,5,0,2025,2,0,0,0,1,1,1,0,2.9,10.0,0.4,75100,60000,1.08,1.22,15854000,15337000
EG-000059,Suez,Apartment,New,Fully Finished,Unfurnished,Garden,138,3,2,7,2,2023,1,0,0,1,0,1,0,0,3.1,19.8,1.0,30700,10000,1.18,1.22,2092000,1987000
EG-000060,Heliopolis,Apartment,Excellent,Core & Shell,Partially Furnished,Sea/Lake,124,3,2,15,13,2012,1,0,0,0,1,1,0,0,2.9,24.6,8.8,67800,25000,1.08,0.78,2752000,2611000
EG-000061,6th of October City,Apartment,Fair,Fully Finished,Unfurnished,City,161,3,2,8,12,2013,1,0,1,1,1,1,0,0,2.9,13.7,5.7,45600,47000,0.87,1.22,8045000,8032000
EG-000062,Alexandria - Sporting,Apartment,Excellent,Fully Finished,Unfurnished,Street,116,3,2,24,7,2018,0,0,0,1,1,0,0,0,2.9,2.2,2.2,65100,12000,1.08,1.22,1837000,1834000
EG-000063,Maadi,Apartment,New,Core & Shell,Unfurnished,City,134,3,2,18,6,2019,0,0,1,1,1,1,1,0,2.5,8.1,4.5,91000,26950,1.18,0.78,3562000,3324000
EG-000064,Port Said,Apartment,Needs Renovation,Fully Finished,Unfurnished,City,76,1,1,21,3,2022,1,0,0,1,1,1,0,0,2.9,4.1,0.4,20300,11000,0.7,1.22,855000,714000
EG-000065,Alexandria - Sporting,Apartment,New,Fully Finished,Partially Furnished,Pool,133,2,1,5,2,2023,1,0,0,0,1,0,0,0,3.4,14.7,1.2,40400,12000,1.18,1.22,2512000,2298000
EG-000066,Ismailia,Apartment,Needs Renovation,Semi Finished,Unfurnished,Garden,122,1,1,3,3,2022,1,0,0,0,1,0,0,0,2.6,5.0,1.9,26800,10500,0.7,1.0,1030000,897000
EG-000067,Luxor,Duplex,Good,Fully Finished,Unfurnished,Street,195,4,3,15,13,2012,1,0,1,1,1,1,0,58,2.9,30.6,1.6,82100,11730,1.0,1.22,2789000,2791000
EG-000068,New Administrative Capital,Apartment,Excellent,Fully Finished,Unfurnished,Street,237,5,4,22,21,2004,0,0,1,1,0,1,0,0,2.5,7.8,5.7,128400,60000,1.08,1.22,18594000,18736000
EG-000069,Heliopolis,Apartment,Fair,Semi Finished,Furnished,City,153,4,3,18,4,2021,1,0,0,0,1,1,0,0,2.7,8.3,0.6,39700,25000,0.87,1.0,3549000,3328000
EG-000070,Alexandria - Sporting,Penthouse,Excellent,Semi Finished,Unfurnished,Pool,86,2,1,8,0,2025,1,0,0,0,0,0,0,0,3.3,0.3,3.7,26900,18600,1.08,1.0,1944000,1728000
EG-000071,Alexandria - Sporting,Apartment,Excellent,Fully Finished,Partially Furnished,Garden,174,4,3,9,16,2009,2,0,1,1,1,1,1,0,3.2,9.1,0.6,108800,12000,1.08,1.22,3151000,2751000
EG-000072,Maadi,Apartment,Good,Semi Finished,Unfurnished,Street,270,6,5,23,10,2015,0,1,0,0,0,0,0,0,3.2,1.5,0.6,128800,26950,1.0,1.0,7410000,7276000
EG-000073,Alexandria - Sporting,Penthouse,Excellent,Semi Finished,Furnished,Street,102,2,1,7,7,2018,1,0,0,1,1,1,0,0,2.8,5.7,1.3,57100,18600,1.08,1.0,2277000,2049000
EG-000074,North Coast - New Alamein,Apartment,Good,Semi Finished,Unfurnished,City,96,3,2,24,9,2016,0,0,1,1,0,0,0,0,3.3,16.0,1.0,59900,76150,1.0,1.0,7283000,7310000
EG-000075,Hurghada,Studio,New,Core & Shell,Unfurnished,Street,67,2,1,0,18,2007,0,0,0,1,0,1,1,0,3.0,6.5,4.5,18500,24380,1.18,0.78,1524000,1503000
EG-000076,Sheikh Zayed,Apartment,Needs Renovation,Semi Finished,Unfurnished,Street,86,2,2,16,16,2009,2,0,0,0,1,0,0,0,3.2,16.9,0.4,41300,49800,0.7,1.0,2952000,2998000
EG-000077,New Cairo - 6th Settlement,Duplex,New,Core & Shell,Partially Furnished,Street,164,3,3,10,6,2019,2,0,0,1,1,0,0,103,2.5,5.9,3.9,51300,75900,1.18,0.78,11742000,11457000
EG-000078,El Shorouk City,Villa,Good,Core & Shell,Unfurnished,Street,38,2,2,17,4,2021,0,1,0,0,1,0,0,78,3.3,10.0,1.5,12600,36000,1.0,0.78,1331000,1067000
EG-000079,New Cairo - 5th Settlement,Villa,New,Fully Finished,Unfurnished,Sea/Lake,170,4,3,21,4,2021,1,0,0,0,0,1,0,20,3.1,10.6,7.0,61100,97000,1.18,1.22,23938000,23739000
EG-000080,6th of October City,Townhouse,Good,Semi Finished,Furnished,Street,75,3,2,11,13,2012,1,0,0,0,1,0,1,39,2.9,3.9,19.1,24600,63367,1.0,1.0,5055000,4753000
EG-000081,Badr City,Apartment,Good,Fully Finished,Unfurnished,Sea/Lake,99,1,1,1,11,2014,1,0,0,1,1,0,0,0,3.0,6.3,9.1,30900,9450,1.0,1.22,1333000,1141000
EG-000082,New Cairo - 5th Settlement,Apartment,Excellent,Fully Finished,Partially Furnished,Street,151,3,2,21,5,2020,1,1,1,1,1,0,1,0,3.1,9.6,4.0,43100,61550,1.08,1.22,12834000,12246000
EG-000083,New Administrative Capital,Duplex,New,Semi Finished,Unfurnished,City,117,3,2,21,0,2025,0,0,0,1,1,0,1,99,2.5,2.0,0.5,52000,82800,1.18,1.0,11715000,11431000
EG-000084,Heliopolis,Studio,Fair,Semi Finished,Furnished,City,105,2,2,19,3,2022,1,0,0,1,1,1,1,0,2.9,2.8,4.0,27400,23000,0.87,1.0,2549000,2101000
EG-000085,6th of October City,Apartment,Good,Semi Finished,Unfurnished,Pool,107,2,1,9,7,2018,1,0,1,1,0,0,0,0,2.8,0.4,2.4,23500,47000,1.0,1.0,5259000,5029000
EG-000086,Maadi,Apartment,Good,Semi Finished,Unfurnished,Street,111,2,2,15,0,2025,1,0,0,0,1,0,0,0,2.7,2.7,1.9,29700,26950,1.0,1.0,3129000,2991000
EG-000087,New Administrative Capital,Studio,New,Fully Finished,Unfurnished,Street,128,3,2,6,6,2019,0,0,1,0,1,1,0,0,2.8,6.8,2.3,40900,55200,1.18,1.22,10213000,10172000
EG-000088,New Cairo - 6th Settlement,Apartment,Fair,Fully Finished,Unfurnished,Pool,61,1,1,9,11,2014,1,0,0,1,0,1,0,0,2.9,16.4,1.1,41000,55000,0.87,1.22,3620000,3561000
EG-000089,New Cairo - 6th Settlement,Duplex,New,Fully Finished,Unfurnished,Pool,176,3,2,17,0,2025,2,0,0,1,1,1,1,146,2.7,1.7,3.1,77100,75900,1.18,1.22,19899000,19231000
EG-000090,New Administrative Capital,Apartment,Good,Fully Finished,Unfurnished,Garden,143,3,2,4,0,2025,2,0,0,1,0,0,1,0,3.1,4.2,3.3,63000,60000,1.0,1.22,10946000,10468000
EG-000091,New Administrative Capital,Apartment,Good,Fully Finished,Partially Furnished,Garden,149,4,3,5,1,2024,0,0,0,1,0,1,0,0,3.0,2.7,1.0,88000,60000,1.0,1.22,11131000,10907000
EG-000092,New Cairo - 5th Settlement,Townhouse,Good,Semi Finished,Furnished,Garden,231,5,4,8,3,2022,0,0,1,1,1,1,1,79,3.1,8.4,12.8,128100,82450,1.0,1.0,19699000,19046000
EG-000093,North Coast - New Alamein,Townhouse,Good,Core & Shell,Unfurnished,City,106,1,1,23,11,2014,1,0,0,0,1,0,0,31,2.8,3.2,0.1,52600,76500,1.0,0.78,6359000,6325000
EG-000094,Alexandria - Miami,Apartment,Excellent,Semi Finished,Unfurnished,Street,90,2,1,15,9,2016,1,0,1,1,0,1,0,0,3.1,47.7,19.8,37000,9500,1.08,1.0,778000,923000
EG-000095,Heliopolis,Villa,New,Fully Finished,Unfurnished,Street,295,6,5,20,41,1984,1,0,0,0,1,0,1,67,3.0,34.0,12.0,159300,46000,1.18,1.22,19199000,19535000
EG-000096,New Cairo - 6th Settlement,Apartment,Excellent,Fully Finished,Unfurnished,Garden,274,6,5,18,1,2024,1,1,1,0,0,1,0,0,3.1,16.0,1.8,84500,55000,1.08,1.22,20278000,19856000
EG-000097,New Administrative Capital,Apartment,Good,Semi Finished,Unfurnished,Street,375,8,6,18,11,2014,1,0,0,1,0,1,0,0,2.9,19.0,2.2,167900,60000,1.0,1.0,22440000,22500000
EG-000098,Shubra,Apartment,New,Fully Finished,Partially Furnished,Pool,125,3,3,17,1,2024,1,1,1,1,1,0,1,0,2.7,2.6,5.3,57100,16000,1.18,1.22,3651000,2879000
EG-000099,6th of October City,Apartment,Excellent,Semi Finished,Unfurnished,Garden,131,3,2,14,8,2017,1,0,0,1,0,0,0,0,2.7,8.7,6.1,78400,47000,1.08,1.0,6692000,6650000
EG-000100,Alexandria - Montaza,Villa,Good,Semi Finished,Unfurnished,Garden,162,4,3,10,8,2017,1,1,0,1,0,0,0,60,2.7,57.1,2.6,65500,25000,1.0,1.0,4143000,4050000
EG-000101,Maadi,Townhouse,New,Fully Finished,Unfurnished,Garden,120,1,1,7,7,2018,0,0,0,1,1,0,1,90,2.7,5.0,1.3,45300,38420,1.18,1.22,6937000,6637000
EG-000102,Sheikh Zayed,Villa,New,Semi Finished,Unfurnished,Street,180,3,2,19,1,2024,1,0,0,0,0,0,0,211,3.2,9.1,2.4,96100,72000,1.18,1.0,15547000,15293000
EG-000103,Obour City,Apartment,Fair,Core & Shell,Unfurnished,Street,85,1,1,8,17,2008,2,0,0,1,0,0,1,0,3.1,12.1,3.8,47900,18400,0.87,0.78,1215000,1061000
EG-000104,New Administrative Capital,Apartment,New,Semi Finished,Unfurnished,Garden,91,2,2,20,1,2024,0,0,0,0,0,0,0,0,3.0,3.4,1.2,58100,60000,1.18,1.0,6536000,6443000
EG-000105,New Cairo - 6th Settlement,Apartment,Good,Fully Finished,Unfurnished,Street,108,3,2,22,0,2025,1,0,1,0,0,1,1,0,3.0,10.1,10.6,69400,55000,1.0,1.22,7603000,7247000
EG-000106,Luxor,Duplex,Excellent,Fully Finished,Unfurnished,City,170,4,3,10,3,2022,2,0,0,1,1,0,1,59,3.1,26.4,0.7,54000,11730,1.08,1.22,2963000,2627000
EG-000107,Suez,Apartment,New,Core & Shell,Partially Furnished,Garden,185,4,3,12,9,2016,0,0,1,0,1,0,1,0,3.2,12.7,0.1,99600,10000,1.18,0.78,1967000,1703000
EG-000108,New Cairo - 6th Settlement,Villa,Fair,Fully Finished,Partially Furnished,Sea/Lake,127,3,3,14,1,2024,0,0,1,1,1,1,0,29,2.9,29.4,2.8,52100,88000,0.87,1.22,12199000,11862000
EG-000109,New Cairo - 6th Settlement,Apartment,Excellent,Fully Finished,Partially Furnished,Sea/Lake,145,3,2,3,2,2023,0,0,0,0,1,1,0,0,2.9,12.2,5.3,76400,55000,1.08,1.22,10780000,10508000
EG-000110,Zamalek,Apartment,Excellent,Semi Finished,Unfurnished,Street,200,5,4,8,3,2022,1,0,1,0,1,1,0,0,2.7,23.0,5.2,128000,50000,1.08,1.0,10806000,10800000
EG-000111,Mohandessin,Apartment,Excellent,Fully Finished,Unfurnished,Street,88,1,1,18,0,2025,1,0,0,0,1,0,1,0,2.8,6.8,1.9,37200,23000,1.08,1.22,2966000,2667000
EG-000112,El Shorouk City,Townhouse,Good,Fully Finished,Unfurnished,Street,208,5,3,15,3,2022,1,0,1,1,0,1,1,92,3.1,21.5,1.1,57700,30600,1.0,1.22,8129000,7765000
EG-000113,Giza - Haram,Apartment,Excellent,Semi Finished,Unfurnished,Garden,113,3,2,7,10,2015,1,1,0,1,0,0,0,0,3.1,2.6,4.1,62800,18000,1.08,1.0,2471000,2197000
EG-000114,6th of October City,Studio,Excellent,Semi Finished,Furnished,City,87,1,1,19,4,2021,1,0,0,1,1,1,1,0,2.5,4.9,3.1,20900,43240,1.08,1.0,4487000,4063000
EG-000115,Alexandria - Smouha,Apartment,Good,Fully Finished,Furnished,Street,142,3,2,15,1,2024,1,0,0,1,0,0,1,0,2.7,2.3,6.2,73500,11000,1.0,1.22,2352000,1906000
EG-000116,Maadi,Townhouse,New,Semi Finished,Unfurnished,Street,123,4,3,14,6,2019,1,0,0,0,1,1,1,121,3.0,7.2,2.7,50800,38420,1.18,1.0,5897000,5576000
EG-000117,Maadi,Duplex,Fair,Core & Shell,Furnished,Street,116,1,1,20,4,2021,1,0,0,1,1,0,0,100,3.1,2.9,1.0,75400,37191,0.87,0.78,3298000,2928000
EG-000118,New Administrative Capital,Apartment,Excellent,Semi Finished,Unfurnished,Garden,134,4,3,6,12,2013,1,0,0,0,1,1,1,0,3.0,24.5,6.0,73500,60000,1.08,1.0,8786000,8683000
EG-000119,Suez,Studio,Fair,Core & Shell,Furnished,Garden,175,4,3,3,2,2023,0,0,0,1,1,0,0,0,2.7,26.5,0.3,41200,9200,0.87,0.78,1247000,1093000
EG-000120,New Cairo - 6th Settlement,Apartment,Good,Fully Finished,Unfurnished,City,230,5,4,11,11,2014,1,1,0,1,1,0,0,0,3.2,5.2,10.5,105600,55000,1.0,1.22,15630000,15433000
EG-000121,New Cairo - 6th Settlement,Apartment,Good,Fully Finished,Furnished,City,80,1,1,3,0,2025,2,0,1,0,0,0,1,0,2.7,11.3,1.1,37100,55000,1.0,1.22,5897000,5368000
EG-000122,Shubra,Duplex,New,Semi Finished,Furnished,Garden,112,2,1,13,0,2025,0,0,0,1,0,1,0,185,3.0,1.3,6.0,24100,22080,1.18,1.0,3316000,2918000
EG-000123,Giza - Faisal,Apartment,Good,Core & Shell,Unfurnished,Garden,190,4,3,10,2,2023,2,0,0,0,1,1,1,0,3.3,35.0,2.6,45500,15000,1.0,0.78,2526000,2223000
EG-000124,New Cairo - 6th Settlement,Apartment,Excellent,Semi Finished,Partially Furnished,Pool,150,3,2,18,6,2019,1,0,0,1,1,0,1,0,3.1,7.2,1.8,60400,55000,1.08,1.0,9294000,8910000
EG-000125,Shubra,Townhouse,New,Semi Finished,Partially Furnished,Sea/Lake,159,3,3,22,22,2003,2,0,0,1,1,1,0,465,3.2,2.6,3.3,84500,25500,1.18,1.0,5439000,4784000
EG-000126,Zamalek,Apartment,New,Fully Finished,Unfurnished,Sea/Lake,90,2,2,22,0,2025,1,0,1,0,0,1,1,0,2.9,26.8,7.7,34800,50000,1.18,1.22,6907000,6478000
EG-000127,Zamalek,Apartment,Good,Semi Finished,Unfurnished,Garden,125,3,2,7,5,2020,1,0,0,0,1,0,0,0,3.2,60.1,0.3,45800,50000,1.0,1.0,6135000,6250000
EG-000128,Zamalek,Apartment,Excellent,Core & Shell,Unfurnished,Garden,114,2,1,14,3,2022,1,0,0,0,1,1,1,0,2.8,13.5,4.9,38800,50000,1.08,0.78,5090000,4802000
EG-000129,New Cairo - 6th Settlement,Apartment,New,Core & Shell,Partially Furnished,City,103,2,1,18,13,2012,0,1,0,0,1,0,0,0,2.9,14.1,4.1,50000,55000,1.18,0.78,5309000,5214000
EG-000130,Tanta,Townhouse,Excellent,Core & Shell,Unfurnished,City,105,1,1,15,5,2020,0,0,0,1,0,1,0,114,2.7,2.0,7.5,37700,15300,1.08,0.78,1443000,1353000
EG-000131,Maadi,Studio,New,Semi Finished,Partially Furnished,Pool,65,1,1,9,14,2011,1,1,1,1,1,0,0,0,3.0,4.0,1.3,28700,24794,1.18,1.0,2330000,1902000
